accno,co_name,status
310A/005,Accu-Mac Precision Engineering,active
310E/025,Excel Metal Stamping Sdn Bhd,active
310I/015,Integrated Tooling Technologies Sdn Bhd,active
310L/032,LT-world Sdn Bhd,hold
310P/007,Pao Seng Precision Engineering,hold
310P/042,Pro-Vector Industries Sdn Bhd,hold
310S/015,Seng Engineering Works,active
310S/091,SYS Precision Sdn Bhd,hold
310T/020,Titan Metal Works Sdn Bhd,active
310W/012,Wingu Steel Sdn Bhd,disabled
310S/093,SPM Wirecut Sdn Bhd,active
310F/027,Fuda Industries (M) Sdn Bhd,active
310I/027,Isu Engineering Sdn Bhd,active
