cid,accno,co_name,current_status,reminder,our_ref_no,overdue_amount,number_text_amount,due_date,person_in_charge
8,310A/008,Ace Industrial Engineering Sdn Bhd,hold,yes,PM1-RL465-20/AIE/TTH/ph,24000,Twenty Four Thousand,"May 31, 2020",Joko
10,310A/010,Actif Concept Precision Engineering,hold,yes,PM1-RL465-20/ACP/TTH/ph,21000,Twenty One Thousand,"March 20, 2020",Asa
12,310A/012,Actvantec Precision Sdn Bhd,hold,yes,PM1-RL465-20/ATP/TTH/ph,19000,Nineteen Thousand,"April 1, 2020",Joko
17,310A/017,AG One Solution,hold,,PM1-RL465-20/AGO/TTH/ph,930,Nine Hundred Thirty,"June 20, 2020",Asa
24,310A/024,,hold,,,,,,
33,310A/033,AS Metal Component (M) Sdn Bhd,hold,yes,PM1-RL465-20/ASM/TTH/ph,20,Twenty,"April 17, 2020",Asa
41,310A/041,Ati Engineering,hold,,PM1-RL465-20/ATI/TTH/ph,9809,Nine Thousand Eight Hundred Nine,"June 16, 2020",Asa
50,310B/001,Ban Ngai Components Sdn Bhd,hold,yes,PM1-RL465-20/BNC/TTH/ph,7892,Seven Thousand Eight Hundred Ninety Two,"May 12, 2020",Claudio
52,310B/003,Benico Trading,hold,,PM1-RL465-20/BCT/TTH/ph,300,Three Hundred,"June 30, 2020",Claudio
54,310B/005,Bettermark Precision Sdn Bhd,hold,,PM1-RL465-20/BTP/TTH/ph,450,Four Hundred Fifty,"May 18, 2020",Joko
58,310B/009,BK Equipment Services And Trading Sdn Bh,hold,yes,PM1-RL465-20/BKE/TTH/ph,218.25,Two Hundred Eighteen And Cent Twenty Five,"April 17, 2020",Asa
64,310B/015,Bright Tech Precision,,,PM1-RL465-20/BTP/TTH/ph,193.1,One Hundred Ninety Three And Cent Ten,"May 25, 2020",Asa
69,310B/020,Burnmark Industries Sdn Bhd,hold,,PM1-RL465-20/BKI/TTH/ph,480,Four Hundred Eighty,"June 17, 2020",Asa
71,310C/001,,hold,,,,,,
73,310C/003,CAD IT Engineering Enterprise,hold,,PM1-RL465-20/CAD/TTH/ph,150,One Hundred Fifty,"July 1, 2020",Joko
